test_id,test_name,provider,model,effort,pass,duration_ms,input_tokens,output_tokens
get-verification-code,Get verification code from text message,claude-claude-opus-4-5,claude-opus-4-5,low,true,209546,361986,8402
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,604103,2968906,3863
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,212590,284122,9090
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,443241,1078062,17368
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,408193,672474,13079
set-alarm-5pm,Set an alarm for 5:00 PM,gemini-gemini-2.5-pro,gemini-2.5-pro,,false,732163,251149,1030
uninstall-app,Uninstall the Firefox Focus app,gemini-gemini-2.5-pro,gemini-2.5-pro,,false,130697,91514,656
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-5,claude-sonnet-4-5,low,true,205255,364762,9578
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-5,claude-sonnet-4-5,low,false,603778,4813849,426
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-5,claude-sonnet-4-5,low,false,603737,5834457,511
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-5,claude-sonnet-4-5,low,false,607047,4657203,496
get-verification-code,Get verification code from text message,claude-claude-sonnet-4-5,claude-sonnet-4-5,low,true,348776,782795,13897
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,113297,138816,5314
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,266517,369768,10256
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,603753,3044692,3271
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,433690,1130115,18216
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,495936,1716132,24696
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,603166,2903168,4572
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,565959,2160599,28532
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,607486,4091681,5282
airplane-mode-on,Turn on airplane mode,codex-gpt-5.4,gpt-5.4,low,true,230265,810315,4538
airplane-mode-off,Turn off airplane mode,codex-gpt-5.4,gpt-5.4,low,false,403726,1317391,9226
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.4,gpt-5.4,low,true,566499,2539642,12531
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.4,gpt-5.4,low,true,219668,721068,5650
get-verification-code,Get verification code from text message,codex-gpt-5.4,gpt-5.4,low,true,214161,619393,5662
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,603555,2495495,3695
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,297868,617576,13506
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,603447,3180170,3946
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,606527,3627461,5030
